best                    spetters
evidence                ergenis / van de patient
casus                   kaas
bias                    bajes
BMI                     Dimi
besluitvorming          gezamenlijk zuid
bewijsmateriaal         best wijs materiaal
ingebakerd              naaiateliers
valkuil                 valken
zorgplan                zoon van gelezen
systematic              systeem reviews
millimeter              militair geef ik mijn"
sondevoeding            zonder voeding
toepasbaar              te pas
werksetting             werk zitting
eliminatie              Najagen
darmen                  Dame
zuurstofarm             amateurs nog armer
aorta                   aurora
weefsels                Wezens
venen                   Winkel
lokaal                  Loopbaan
inhalatiemedicatie      Lage medicatie
toediening              Lokale gemini
bloed                   In Utrecht
astma                   Achtmaal
intraveneus             Ingehuurd
